,Age,Gender,Home Language,Father Occupation,Mother Occupation,Number Of Siblings,Father Education,Mother Education,School Distance,Means to school,House Lighting,School Infrustructure,School Meal per day,School Cost,Family income source,Bangla,English,Math,Science,History,Social Science,Religious Study,Family Annual income,Extra Tution,Hours of study per day,Class Label,GPA,Attendance Parcentage
371,10-13 years,female,Bangla,Worker,Home maker,None,secondary,Honors/Equivalent ,0-0.5 km,School Bus/Bus,Electricity,Water,None,High,Casual Wage,92,40,38,75,89,72,69,300000,Yes,0 to 30 minutes,No,3.39,89.9
372,10-13 years,male,Bangla,Public sector,Home maker,Three Children,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Formal Wage,92,53,51,49,79,63,90,350000,No,0 to 30 minutes,Yes,3.41,70.2
373,10-13 years,female,Bangla,Immigrant,Worker,None,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,None,High,Remittance,35,23,88,83,82,20,32,150000,No,above 3 hours,Yes,2.59,61.5
374,15-18 years,female,Bangla,Unemployed,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Electricity,Water,None,Low,Pansion,33,71,24,33,28,71,64,800000,Yes,3 hours,No,2.31,62.8
375,10-13 years,male,Bangla,Worker,Home maker,Three Children,primary,Honors/Equivalent ,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,53,36,39,51,80,22,74,700000,Yes,1 hours,No,2.54,68.6
376,13-15 years,male,Bangla,Immigrant,Worker,Two Children,Honors/ Equivalent ,primary,6-7 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Remittance,76,37,67,68,45,78,68,850000,Yes,2 hours,Yes,3.14,91.9
377,13-15 years,male,Bangla,Public sector,Public sector,Three Children,secondary,secondary,6-7 km,School Bus/Bus,Electricity,Toilet,None,Low,Formal Wage,32,71,70,22,42,82,39,600000,No,above 3 hours,No,2.56,60.6
378,13-15 years,male,Bangla,Unemployed,Home maker,Three Children,primary,Masters/Equivalent and above,0.5-1 km,Walk,Electricity,Toilet,None,Mediam,Pansion,88,66,48,27,42,52,90,350000,Yes,above 3 hours,No,2.95,67.5
379,13-15 years,female,Bangla,Public sector,Home maker,Two Children,Honors/ Equivalent ,Masters/Equivalent and above,0.5-1 km,Rickshaw,Other,Teaching facilities,None,High,Formal Wage,87,32,58,26,86,91,66,450000,No,3 hours,No,3.19,77.2
380,13-15 years,female,Bangla,Public sector,Freelancer,None,Honors/ Equivalent ,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Other,Water,None,High,Formal Wage,21,33,78,50,45,87,38,180000,Yes,2 hours,Yes,2.51,62.1
381,10-13 years,female,Bangla,Worker,Immigrant,Two Children,Honors/ Equivalent ,primary,0-0.5 km,Private car,Electricity,Teaching facilities,None,High,Casual Wage,90,56,53,64,40,38,65,750000,Yes,2 hours,No,2.9,52.9
382,15-18 years,male,Bangla,Agriculture,Freelancer,None,Honors/ Equivalent ,secondary,1-2 km,Rickshaw,Paraffin,Toilet,None,Mediam,Farming,45,32,69,86,40,86,66,700000,No,3 hours,No,3.03,72.3
383,15-18 years,male,Bangla,Freelancer ,Agriculture,None,secondary,secondary,>7 km,School Bus/Bus,Paraffin,Toilet,None,Mediam,Own business,67,35,62,39,65,73,33,750000,No,1 hours,No,2.67,50.4
384,13-15 years,male,Bangla,Immigrant,Home maker,Four or more,Honors/ Equivalent ,None,6-7 km,Walk,Electricity,Toilet,None,Low,Remittance,60,62,41,46,45,82,87,650000,Yes,3 hours,No,3.02,86.8
385,10-13 years,male,Bangla,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,School Bus/Bus,Other,Water,None,Low,Own business,46,81,80,43,86,53,39,250000,No,0 to 30 minutes,Yes,3.06,84.3
386,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Remittance,66,60,20,63,78,55,76,300000,No,3 hours,No,2.99,65.3
387,15-18 years,male,Bangla,Worker,Home maker,Four or more,secondary,Masters/Equivalent and above,1-2 km,School Bus/Bus,Electricity,Toilet,None,Mediam,Casual Wage,28,55,34,34,83,27,26,350000,No,1 hours,No,2.05,64.4
388,15-18 years,female,Bangla,Immigrant,Home maker,Four or more,primary,primary,1-2 km,Walk,Other,Teaching facilities,Once,High,Remittance,75,60,83,49,38,38,30,180000,Yes,0 to 30 minutes,Yes,2.66,72.4
389,10-13 years,female,Bangla,Worker,Home maker,Two Children,Honors/ Equivalent ,secondary,6-7 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,78,88,74,48,49,56,91,250000,Yes,2 hours,No,3.46,75.2
390,15-18 years,female,Bangla,Agriculture,Home maker,Four or more,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Teaching facilities,None,Mediam,Farming,54,66,43,85,81,31,92,100000,Yes,2 hours,No,3.23,73.6
391,15-18 years,others,Bangla,Freelancer ,Home maker,None,secondary,primary,0.5-1 km,Private car,Electricity,Toilet,Once,Low,Own business,80,91,30,59,33,69,29,250000,Yes,above 3 hours,No,2.79,54
392,15-18 years,male,Bangla,Worker,Home maker,None,primary,secondary,4-5 km,Rickshaw,Electricity,Toilet,Once,Low,Casual Wage,64,39,78,63,80,57,67,220000,No,1 hours,No,3.2,70.5
393,10-13 years,female,Bangla,Immigrant,Home maker,Two Children,Honors/ Equivalent ,secondary,4-5 km,Rickshaw,Electricity,Water,None,Mediam,Remittance,70,36,82,33,51,76,71,300000,No,2 hours,No,2.99,68.9
394,15-18 years,female,Bangla,Worker,Agriculture,Four or more,primary,None,0.5-1 km,School Bus/Bus,Electricity,Toilet,Once,High,Casual Wage,48,62,77,32,23,70,75,220000,No,0 to 30 minutes,Yes,2.76,61
395,10-13 years,female,Bangla,Immigrant,Business,Two Children,primary,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,High,Remittance,64,83,86,86,30,86,25,250000,Yes,0 to 30 minutes,Yes,3.29,66.3
396,13-15 years,female,Bangla,Private sector,Home maker,Three Children,Honors/ Equivalent ,Honors/Equivalent ,6-7 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Casual Wage,22,89,80,48,90,57,61,900000,No,3 hours,No,3.19,72.5
397,10-13 years,female,Bangla,Business,Home maker,Three Children,primary,secondary,0.5-1 km,Walk,Electricity,Water,None,Low,Own business,32,49,64,37,78,73,75,180000,Yes,3 hours,No,2.91,74.9
398,15-18 years,female,Bangla,Private sector,Home maker,Two Children,primary,primary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,66,32,21,77,80,85,81,850000,No,1 hours,No,3.16,82.4
399,13-15 years,male,Bangla,Private sector,Home maker,Two Children,secondary,secondary,4-5 km,School Bus/Bus,Electricity,Water,Once,Low,Casual Wage,38,62,34,89,53,84,44,500000,No,1 hours,No,2.89,70.3
400,13-15 years,male,Bangla,Worker,Agriculture,Two Children,primary,primary,0.5-1 km,Private car,Electricity,Toilet,Once,Mediam,Casual Wage,29,55,66,57,65,56,57,700000,Yes,3 hours,No,2.75,54.6
401,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,primary,>7 km,Rickshaw,Electricity,Toilet,None,Mediam,Remittance,49,32,66,39,91,89,52,300000,Yes,0 to 30 minutes,No,2.99,55
402,10-13 years,female,English,Private sector,Freelancer,Three Children,None,None,1-2 km,Walk,Other,Water,Once,Low,Casual Wage,83,41,88,46,42,58,85,220000,Yes,3 hours,No,3.16,74.3
403,10-13 years,male,Bangla,Private sector,Home maker,Three Children,primary,primary,4-5 km,Rickshaw,Electricity,Teaching facilities,Once,High,Casual Wage,25,47,41,48,59,53,74,250000,Yes,above 3 hours,No,2.48,62.1
404,13-15 years,female,Bangla,Freelancer ,Home maker,Four or more,Honors/ Equivalent ,secondary,2-3 km,Walk,Electricity,Toilet,None,Mediam,Own business,53,43,29,21,89,64,64,350000,No,0 to 30 minutes,Yes,2.59,59.4
405,10-13 years,male,Bangla,Freelancer ,Home maker,None,secondary,secondary,0-0.5 km,Private car,Other,Teaching facilities,Once,Low,Own business,71,40,69,89,26,62,39,180000,No,2 hours,No,2.83,57.3
406,13-15 years,male,Bangla,Business,Freelancer,None,secondary,primary,2-3 km,Walk,Electricity,Toilet,None,High,Own business,57,25,23,20,80,27,74,200000,Yes,0 to 30 minutes,No,2.19,73
407,15-18 years,male,English,Private sector,Business,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Electricity,None,High,Casual Wage,84,56,37,25,54,46,23,250000,No,2 hours,No,2.32,68.6
408,13-15 years,male,Bangla,Immigrant,Home maker,None,Honors/ Equivalent ,primary,0.5-1 km,School Bus/Bus,Paraffin,Teaching facilities,None,High,Remittance,91,23,75,65,69,56,76,400000,Yes,above 3 hours,No,3.25,70.9
409,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,2-3 km,Walk,Electricity,Toilet,None,High,Farming,40,63,63,67,90,59,53,550000,No,0 to 30 minutes,Yes,3.11,65.1
410,13-15 years,male,Bangla,Worker,Public sector,Two Children,Honors/ Equivalent ,Honors/Equivalent ,0.5-1 km,Rickshaw,Electricity,Toilet,None,High,Casual Wage,87,92,28,37,85,72,52,220000,No,above 3 hours,No,3.24,80
411,15-18 years,male,Bangla,Private sector,Home maker,Two Children,primary,secondary,1-2 km,Walk,Electricity,Water,None,Mediam,Casual Wage,70,75,28,80,65,32,87,750000,No,3 hours,No,3.12,80.4
412,15-18 years,male,Bangla,Business,Home maker,None,secondary,primary,0-0.5 km,Walk,Electricity,Toilet,None,High,Own business,25,73,53,81,38,29,74,180000,No,3 hours,No,2.66,54.1
413,10-13 years,female,Bangla,Worker,Public sector,None,Masters/ Equivalent and above,None,0-0.5 km,Rickshaw,Electricity,Toilet,None,High,Casual Wage,44,59,51,26,25,64,89,180000,Yes,3 hours,Yes,2.56,52.8
414,15-18 years,female,Bangla,Immigrant,Home maker,None,secondary,secondary,0.5-1 km,Walk,Electricity,Toilet,None,High,Remittance,24,73,68,54,89,30,77,350000,Yes,above 3 hours,No,2.96,58.6
415,13-15 years,female,Bangla,Immigrant,Home maker,None,primary,secondary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Remittance,84,74,81,36,73,92,70,900000,Yes,3 hours,No,3.64,66.9
416,13-15 years,female,Bangla,Private sector,Business,Two Children,primary,Honors/Equivalent ,0.5-1 km,Bicycle/motorbike,Paraffin,Toilet,Once,Mediam,Casual Wage,24,57,84,31,42,20,50,650000,No,0 to 30 minutes,Yes,2.2,65.1
417,10-13 years,male,Bangla,Freelancer ,Home maker,Four or more,secondary,primary,0-0.5 km,Private car,Electricity,Toilet,Once,Low,Own business,36,22,58,83,31,60,43,300000,No,3 hours,No,2.38,63.2
418,13-15 years,female,Bangla,Unemployed,Worker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Toilet,None,High,Pansion,67,47,41,79,30,40,35,200000,No,0 to 30 minutes,Yes,2.42,57.3
419,15-18 years,male,English,Public sector,Agriculture,Three Children,primary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Formal Wage,80,52,70,78,35,64,83,150000,Yes,above 3 hours,No,3.3,71.2
420,13-15 years,female,Bangla,Private sector,Home maker,Two Children,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,47,24,49,65,28,24,54,300000,No,above 3 hours,No,2.08,64.8
421,10-13 years,male,Bangla,Business,Home maker,None,Masters/ Equivalent and above,None,6-7 km,School Bus/Bus,Electricity,Teaching facilities,Once,Mediam,Own business,50,54,68,31,80,83,83,650000,Yes,above 3 hours,No,3.21,68.7
422,15-18 years,female,Bangla,Agriculture,Home maker,Two Children,primary,primary,6-7 km,School Bus/Bus,Electricity,Water,None,High,Farming,84,69,58,78,62,20,20,300000,Yes,3 hours,No,2.79,74.4
423,15-18 years,male,Bangla,Business,Home maker,Four or more,None,secondary,4-5 km,Bicycle/motorbike,Electricity,Toilet,Once,High,Own business,65,92,74,79,31,40,82,180000,No,above 3 hours,No,3.31,73.2
424,10-13 years,female,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,4-5 km,Walk,Paraffin,Teaching facilities,None,High,Farming,27,68,63,24,62,22,51,220000,No,3 hours,No,2.26,70
425,10-13 years,male,Bangla,Private sector,Home maker,Four or more,primary,primary,2-3 km,Rickshaw,Electricity,Water,None,Mediam,Casual Wage,45,86,45,69,55,24,91,900000,No,1 hours,No,2.96,63.1
426,13-15 years,female,Bangla,Worker,Agriculture,Two Children,secondary,secondary,0-0.5 km,Walk,Electricity,Toilet,None,High,Casual Wage,82,76,80,80,65,23,64,900000,No,1 hours,No,3.36,86.8
427,15-18 years,female,Bangla,Agriculture,Home maker,Three Children,Honors/ Equivalent ,secondary,2-3 km,Private car,Electricity,Toilet,Once,Mediam,Farming,27,35,91,34,59,32,26,150000,No,2 hours,No,2.17,54.4
428,13-15 years,male,Bangla,Private sector,Agriculture,None,primary,secondary,6-7 km,Walk,Electricity,Toilet,None,Low,Casual Wage,73,68,32,57,86,27,90,150000,Yes,3 hours,No,3.09,88.4
429,15-18 years,female,Bangla,Public sector,Worker,Two Children,primary,None,>7 km,Rickshaw,Electricity,Toilet,None,Mediam,Formal Wage,82,63,82,89,53,85,38,500000,Yes,3 hours,No,3.51,84.6
430,10-13 years,female,Bangla,Business,Worker,Three Children,Honors/ Equivalent ,primary,4-5 km,Bicycle/motorbike,Other,Teaching facilities,Once,High,Own business,29,38,33,33,28,90,57,250000,No,above 3 hours,No,2.2,53.2
431,10-13 years,female,Bangla,Private sector,Home maker,Two Children,secondary,primary,0.5-1 km,Rickshaw,Electricity,Toilet,None,Low,Casual Wage,54,35,83,86,55,29,50,220000,Yes,2 hours,No,2.8,67.9
432,13-15 years,female,Bangla,Worker,Business,Two Children,Honors/ Equivalent ,secondary,1-2 km,Walk,Electricity,Toilet,None,Mediam,Casual Wage,81,43,61,79,33,74,76,180000,Yes,1 hours,No,3.19,89
433,10-13 years,male,Bangla,Private sector,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Other,Toilet,Once,High,Casual Wage,68,65,40,48,39,53,66,650000,Yes,3 hours,No,2.71,73.2
434,10-13 years,female,Bangla,Agriculture,Home maker,Two Children,secondary,None,4-5 km,Walk,Electricity,Water,None,Low,Farming,40,58,91,86,50,33,81,300000,No,3 hours,No,3.14,84.6
435,13-15 years,female,Bangla,Public sector,Home maker,None,primary,secondary,0-0.5 km,School Bus/Bus,Other,Toilet,None,Low,Formal Wage,91,58,70,38,36,46,38,220000,Yes,1 hours,No,2.69,57.5
436,13-15 years,female,Bangla,Immigrant,Agriculture,Two Children,Masters/ Equivalent and above,primary,4-5 km,Bicycle/motorbike,Electricity,Water,None,Mediam,Remittance,34,84,70,78,26,77,77,220000,Yes,2 hours,Yes,3.19,86.6
437,13-15 years,female,Bangla,Agriculture,Home maker,Two Children,secondary,secondary,2-3 km,Walk,Other,Toilet,None,Low,Farming,47,48,34,82,26,60,68,150000,Yes,2 hours,No,2.61,62.3
438,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,primary,None,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,None,Mediam,Remittance,76,42,87,91,83,77,91,300000,No,above 3 hours,No,3.91,87.1
439,13-15 years,female,Bangla,Worker,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,Mediam,Casual Wage,64,22,77,73,63,82,53,550000,No,1 hours,No,3.1,77.7
440,13-15 years,male,Bangla,Business,Home maker,Three Children,primary,Honors/Equivalent ,1-2 km,Private car,Electricity,Teaching facilities,None,Low,Own business,62,36,74,35,21,87,34,150000,Yes,3 hours,No,2.49,53.7
441,13-15 years,female,Bangla,Public sector,Freelancer,Four or more,Masters/ Equivalent and above,secondary,4-5 km,School Bus/Bus,Paraffin,Teaching facilities,Once,High,Formal Wage,64,26,50,30,62,52,24,300000,No,2 hours,No,2.2,62.4
442,10-13 years,female,Bangla,Public sector,Home maker,Four or more,primary,secondary,0-0.5 km,Walk,Electricity,Teaching facilities,None,Low,Formal Wage,47,42,69,56,88,81,69,300000,No,0 to 30 minutes,Yes,3.23,89
443,15-18 years,male,Bangla,Agriculture,Home maker,Three Children,primary,Honors/Equivalent ,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Farming,48,44,81,24,77,83,27,250000,No,3 hours,No,2.74,51.4
444,13-15 years,female,Bangla,Public sector,Immigrant,Four or more,primary,secondary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Formal Wage,78,58,21,83,68,36,25,900000,No,1 hours,No,2.64,62.1
445,10-13 years,male,Bangla,Immigrant,Home maker,Three Children,secondary,primary,0.5-1 km,School Bus/Bus,Electricity,Teaching facilities,None,Mediam,Remittance,30,87,58,31,67,20,24,450000,No,1 hours,No,2.26,68.7
446,10-13 years,male,Bangla,Freelancer ,Home maker,Two Children,Masters/ Equivalent and above,secondary,4-5 km,Rickshaw,Electricity,Water,None,Low,Own business,63,44,71,59,28,50,81,350000,No,above 3 hours,No,2.83,58.6
447,13-15 years,female,Bangla,Agriculture,Public sector,None,primary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,Once,Low,Farming,21,41,29,50,50,27,58,150000,Yes,1 hours,Yes,1.97,45.5
448,15-18 years,male,Bangla,Business,Home maker,Three Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Teaching facilities,None,High,Own business,85,76,74,44,72,33,30,900000,Yes,0 to 30 minutes,No,2.96,60.2
449,10-13 years,male,Bangla,Worker,Private sector,Four or more,Masters/ Equivalent and above,primary,0.5-1 km,School Bus/Bus,Electricity,Toilet,None,High,Casual Wage,71,70,57,63,45,57,78,350000,Yes,3 hours,No,3.15,66.9
450,13-15 years,male,Bangla,Business,Freelancer,Two Children,secondary,secondary,>7 km,Walk,Other,Teaching facilities,None,Low,Own business,22,68,47,57,70,69,23,200000,Yes,1 hours,No,2.54,51.5
451,15-18 years,female,Bangla,Business,Home maker,Two Children,secondary,secondary,>7 km,Walk,Paraffin,Water,Once,Mediam,Own business,63,91,54,52,38,55,78,750000,Yes,3 hours,No,3.08,76
452,13-15 years,male,Bangla,Freelancer ,Private sector,Three Children,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Toilet,Once,Mediam,Own business,81,62,91,74,25,62,34,180000,Yes,1 hours,No,3.06,68.2
453,13-15 years,male,Bangla,Immigrant,Home maker,None,secondary,Honors/Equivalent ,2-3 km,Bicycle/motorbike,Electricity,Water,Once,Mediam,Remittance,29,50,60,27,54,31,68,800000,No,1 hours,No,2.28,73.3
454,13-15 years,female,Bangla,Immigrant,Home maker,Three Children,secondary,Honors/Equivalent ,6-7 km,Walk,Electricity,Teaching facilities,Once,Mediam,Remittance,71,88,35,53,50,52,54,180000,Yes,0 to 30 minutes,No,2.88,54.4
455,10-13 years,male,Bangla,Freelancer ,Agriculture,None,primary,None,0.5-1 km,Walk,Electricity,Teaching facilities,None,Mediam,Own business,31,82,22,79,45,67,77,900000,No,0 to 30 minutes,Yes,2.88,53.2
456,13-15 years,male,English,Worker,Public sector,None,primary,secondary,2-3 km,Bicycle/motorbike,Other,Teaching facilities,None,Low,Casual Wage,36,58,76,62,27,22,29,300000,No,3 hours,No,2.21,73.8
457,13-15 years,male,Bangla,Freelancer ,Home maker,Four or more,secondary,primary,6-7 km,Bicycle/motorbike,Electricity,Toilet,None,High,Own business,35,35,55,81,47,32,75,150000,No,3 hours,No,2.57,56.8
458,13-15 years,female,Bangla,Public sector,Home maker,Two Children,secondary,secondary,2-3 km,Bicycle/motorbike,Electricity,Toilet,None,Low,Formal Wage,87,33,58,90,90,69,61,300000,Yes,3 hours,No,3.49,74.4
459,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,Honors/ Equivalent ,primary,4-5 km,Private car,Electricity,Teaching facilities,Once,High,Remittance,70,36,74,38,50,28,30,700000,Yes,2 hours,No,2.33,72.3
460,10-13 years,male,Bangla,Private sector,Home maker,Three Children,primary,secondary,1-2 km,Walk,Electricity,Water,None,High,Casual Wage,48,82,51,28,22,46,21,700000,No,3 hours,No,2.13,65.1
461,13-15 years,male,Bangla,Private sector,Home maker,Two Children,primary,None,0.5-1 km,Walk,Electricity,Toilet,None,Low,Casual Wage,23,84,42,86,63,54,30,200000,No,2 hours,No,2.73,68.5
462,10-13 years,female,Bangla,Business,Home maker,Three Children,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,High,Own business,36,47,67,40,85,91,76,900000,Yes,0 to 30 minutes,No,3.16,84.3
463,10-13 years,male,Bangla,Agriculture,Business,Three Children,secondary,Masters/Equivalent and above,0-0.5 km,Walk,Paraffin,Water,None,High,Farming,58,36,57,81,51,84,47,150000,Yes,2 hours,No,2.96,74.7
464,15-18 years,male,Bangla,Agriculture,Home maker,Four or more,secondary,secondary,>7 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Farming,25,69,47,79,60,48,80,850000,Yes,2 hours,No,2.91,54.2
465,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,Honors/ Equivalent ,secondary,0.5-1 km,Walk,Electricity,Toilet,None,Mediam,Remittance,64,38,65,49,64,75,74,300000,Yes,2 hours,No,3.06,77.3
466,13-15 years,male,Bangla,Business,Home maker,Three Children,primary,secondary,0-0.5 km,Walk,Other,Teaching facilities,None,High,Own business,43,59,78,90,56,37,37,250000,No,1 hours,No,2.86,58.1
467,10-13 years,male,Bangla,Private sector,Immigrant,Two Children,primary,secondary,0-0.5 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,76,52,30,63,80,23,26,550000,Yes,0 to 30 minutes,No,2.5,66.7
468,13-15 years,male,Bangla,Public sector,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Toilet,None,Low,Formal Wage,88,33,69,48,71,73,84,200000,Yes,3 hours,No,3.33,85.8
469,10-13 years,female,Bangla,Freelancer ,Agriculture,Three Children,primary,secondary,>7 km,Walk,Electricity,Toilet,None,Low,Own business,46,38,89,33,28,88,46,300000,Yes,0 to 30 minutes,No,2.63,67.5
470,13-15 years,male,Bangla,Immigrant,Home maker,Two Children,None,secondary,1-2 km,Walk,Electricity,Teaching facilities,None,High,Remittance,82,68,85,32,88,66,64,700000,Yes,1 hours,No,3.46,86.3
471,10-13 years,male,Bangla,Business,Home maker,Two Children,Honors/ Equivalent ,primary,4-5 km,Private car,Other,Toilet,Once,Low,Own business,57,61,67,51,71,84,61,800000,No,above 3 hours,No,3.23,90.7
472,10-13 years,female,Bangla,Business,Home maker,Two Children,secondary,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Own business,31,85,29,42,92,67,25,350000,No,3 hours,No,2.65,52.1
473,13-15 years,female,Bangla,Worker,Worker,Three Children,None,secondary,0.5-1 km,School Bus/Bus,Electricity,Water,None,Mediam,Casual Wage,78,68,38,65,90,86,44,200000,No,3 hours,No,3.35,80.5
474,13-15 years,male,Bangla,Worker,Business,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,4-5 km,Walk,Electricity,Water,None,High,Casual Wage,42,20,24,48,67,46,61,150000,No,1 hours,No,2.2,59.9
475,10-13 years,female,Bangla,Unemployed,Home maker,Two Children,primary,secondary,0.5-1 km,Walk,Electricity,Toilet,Once,Mediam,Pansion,61,58,85,31,44,24,48,300000,No,0 to 30 minutes,Yes,2.51,61
476,10-13 years,female,Bangla,Immigrant,Home maker,Four or more,primary,secondary,0.5-1 km,Bicycle/motorbike,Electricity,Water,None,Low,Remittance,57,22,22,33,79,27,68,250000,Yes,0 to 30 minutes,No,2.2,50
477,13-15 years,female,Bangla,Public sector,Home maker,Four or more,primary,primary,1-2 km,Private car,Electricity,Teaching facilities,Once,High,Formal Wage,32,86,79,25,50,85,23,450000,Yes,above 3 hours,No,2.71,57.9
478,13-15 years,male,Bangla,Business,Worker,Three Children,secondary,primary,1-2 km,Bicycle/motorbike,Other,Toilet,None,Low,Own business,78,83,40,47,47,71,64,350000,No,2 hours,No,3.07,79.5
479,13-15 years,others,Bangla,Private sector,Home maker,Three Children,secondary,primary,1-2 km,School Bus/Bus,Electricity,Teaching facilities,None,High,Casual Wage,38,39,66,22,79,42,31,850000,Yes,1 hours,No,2.26,62.2
480,13-15 years,female,Bangla,Business,Home maker,Four or more,primary,Masters/Equivalent and above,1-2 km,Rickshaw,Other,Teaching facilities,Once,Mediam,Own business,46,64,85,48,78,79,29,300000,Yes,1 hours,No,3.06,79
481,10-13 years,male,Bangla,Worker,Home maker,Three Children,secondary,secondary,0-0.5 km,Bicycle/motorbike,Electricity,Toilet,Once,Low,Casual Wage,72,59,22,31,33,33,51,180000,Yes,0 to 30 minutes,No,2.15,62.2
482,10-13 years,male,Bangla,Business,Home maker,Three Children,secondary,secondary,2-3 km,Walk,Electricity,Teaching facilities,None,Low,Own business,66,91,34,54,73,78,89,350000,Yes,above 3 hours,No,3.46,80.3
483,10-13 years,female,Bangla,Private sector,Agriculture,None,primary,secondary,0.5-1 km,Walk,Electricity,Teaching facilities,None,High,Casual Wage,72,25,55,67,36,45,25,700000,Yes,3 hours,No,2.32,67.7
484,15-18 years,male,Bangla,Worker,Public sector,Three Children,primary,primary,0-0.5 km,Bicycle/motorbike,Paraffin,Teaching facilities,Once,Low,Casual Wage,49,65,80,72,63,72,57,300000,No,3 hours,No,3.27,93.9
485,15-18 years,female,Bangla,Business,Home maker,Four or more,Honors/ Equivalent ,secondary,2-3 km,Walk,Paraffin,Teaching facilities,None,Mediam,Own business,71,65,71,55,64,54,61,200000,Yes,0 to 30 minutes,No,3.15,65.5
486,13-15 years,female,Bangla,Business,Public sector,Three Children,primary,secondary,4-5 km,Walk,Electricity,Water,Once,High,Own business,79,60,82,22,25,60,42,300000,No,0 to 30 minutes,Yes,2.64,67.5
487,10-13 years,male,Bangla,Public sector,Home maker,None,Honors/ Equivalent ,secondary,1-2 km,Walk,Electricity,Toilet,None,High,Formal Wage,38,71,62,54,83,59,35,400000,Yes,3 hours,No,2.87,53.3
488,13-15 years,male,Bangla,Business,Home maker,Three Children,Masters/ Equivalent and above,Honors/Equivalent ,4-5 km,Bicycle/motorbike,Paraffin,Toilet,None,Mediam,Own business,56,81,61,26,78,53,40,650000,No,0 to 30 minutes,Yes,2.82,51.3
489,13-15 years,female,Bangla,Private sector,Home maker,Two Children,Honors/ Equivalent ,secondary,2-3 km,School Bus/Bus,Electricity,Teaching facilities,None,Low,Casual Wage,81,54,61,41,56,50,83,400000,Yes,3 hours,No,3.04,70.3
490,13-15 years,male,Bangla,Immigrant,Home maker,Three Children,primary,secondary,1-2 km,Bicycle/motorbike,Other,Toilet,Once,Mediam,Remittance,42,33,21,32,67,57,40,700000,Yes,above 3 hours,No,2.09,61.3
491,15-18 years,male,Bangla,Worker,Home maker,None,primary,primary,1-2 km,Walk,Electricity,Teaching facilities,None,Mediam,Casual Wage,44,53,58,47,70,24,78,850000,No,1 hours,No,2.67,50.2
492,13-15 years,female,Bangla,Freelancer ,Immigrant,Two Children,secondary,primary,6-7 km,Walk,Electricity,Electricity,Once,High,Own business,26,27,62,30,30,84,62,150000,No,2 hours,Yes,2.29,51.4
493,10-13 years,male,Bangla,Immigrant,Worker,Four or more,None,None,0-0.5 km,Rickshaw,Electricity,Teaching facilities,None,Mediam,Remittance,35,76,22,39,47,24,77,800000,No,above 3 hours,Yes,2.29,65.1
494,13-15 years,female,Bangla,Business,Public sector,Four or more,primary,None,4-5 km,Walk,Other,Teaching facilities,None,Mediam,Own business,33,81,62,91,86,65,57,150000,Yes,0 to 30 minutes,No,3.39,65.3
